SiteID,Lat_DD,Lon_DD,PDA,D2D,D2NN,NN,12Yng,13Yng,14Yng,15Yng,16Yng,17Yng,18Yng,19Yng,y12v1,y12v2,y12v3,y13v1,y13v2,y13v3,y14v1,y14v2,y14v3,y15v1,y15v2,y15v3,y16v1,y16v2,y16v3,y17v1,y17v2,y17v3,y18v1,y18v2,y18v3,y19v1,y19v2,y19v3,RLHA_19,PEFA_19,GYRF_19,NDNO,RLHA,PEFA,GYRF
2,71.8531,-80.9321,1,2.1,1,3,NA,NA,3,NA,4,4,2,2,0,0,NA,PEFA,NA,NA,PEFA,PEFA,NA,0,0,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,PEFA,PEFA,PEFA,PEFA,0,3,0,FALSE,FALSE,TRUE,FALSE
3,71.8544,-80.9028,1,1.2,1,2,3,NA,1,3,NA,0,0,0,RLHA,RLHA,NA,0,0,NA,RLHA,RLHA,NA,RLHA,RLHA,NA,0,0,NA,0,0,NA,0,0,0,RLHA,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE
6,71.8368,-80.8319,1,0.8,0.4,357,NA,NA,2,0,2,3,1,0,RLHA,RLHA,NA,0,NA,NA,PEFA,PEFA,NA,RLHA,RLHA,NA,0,PEFA,NA,CORA,CORA,NA,0,PEFA,PEFA,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
7,71.8033,-80.7595,1,1.6,1.8,450,NA,NA,3,NA,NA,0,0,0,PEFA,NA,NA,NA,NA,NA,PEFA,PEFA,NA,0,0,NA,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
8,71.8702,-80.7133,1,4.5,0.1,9,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,NA,PEFA,PEFA,NA,PEFA,0,NA,PEFA,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
9,71.8701,-80.7112,1,4.5,0.1,8,NA,NA,2,NA,0,0,0,0,PEFA,0,NA,NA,NA,NA,PEFA,PEFA,NA,0,0,NA,0,0,NA,0,0,NA,0,PEFA,0,PEFA,0,0,0,1,0,FALSE,FALSE,TRUE,FALSE
10,71.8634,-80.696,1,4.4,0.9,9,3,NA,2,1,0,0,0,3,NA,RLHA,NA,NA,NA,NA,RLHA,RLHA,NA,RLHA,RLHA,NA,0,0,NA,RLHA,RLHA,NA,RLHA,0,0,RLHA,RLHA,RLHA,3,0,0,FALSE,TRUE,FALSE,FALSE
14,71.7708,-80.5799,1,0.7,1.6,438,NA,NA,2,3,0,0,0,0,RLHA,NA,NA,0,PEFA,NA,PEFA,PEFA,NA,RLHA,RLHA,NA,0,0,NA,0,0,NA,0,0,0,PEFA,0,0,0,1,0,FALSE,FALSE,TRUE,FALSE
15,71.7449,-80.5305,1,1.3,3.4,14,NA,NA,4,0,3,0,0,0,PEFA,NA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,PEFA,NA,PEFA,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
16,71.8196,-80.5177,1,4,0.9,17,NA,NA,NA,NA,NA,0,0,0,RLHA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
17,71.8139,-80.5009,1,4.1,0.1,390,NA,NA,2,0,NA,0,2,0,0,0,NA,NA,NA,NA,RLHA,RLHA,NA,PEFA,0,NA,0,NA,NA,PEFA,0,NA,0,0,PEFA,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
18,71.7948,-80.4523,1,4.2,1.8,19,1,NA,1,0,3,0,0,0,RLHA,NA,NA,NA,NA,NA,RLHA,RLHA,NA,PEFA,0,NA,PEFA,PEFA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE
19,71.779,-80.4441,1,3.1,1.8,18,NA,NA,3,0,NA,2,0,0,RLHA,NA,NA,NA,NA,NA,PEFA,PEFA,NA,PEFA,0,NA,0,0,NA,PEFA,PEFA,NA,0,0,0,PEFA,PEFA,PEFA,0,3,0,FALSE,FALSE,TRUE,FALSE
