SiteID,PDA,min_dist Disturb,NN,D2NN,Cluster ID,GYRF TerritoryID,RLHA TerritoryID,PEFA TerritoryID,Lat_DD,Lon_DD,X_17N,Y_17N,PEFA site,RLHA Site,GYRF Site,#_Spp,06_Sp,06_Date,06_NAd,06_eggs_Y_,06_NEgg,06_hatch,06_NYng,06_Comm,07_Sp,07_Date,07_NAd,07_eggs_Y_,07_NEgg,07_hatch,07_NYng,07_Comm,08_Sp,08_Date,08_NAd,08_eggs_Y_,08_NEgg,08_hatch,08_NYng,08_Comm,09_Sp,09_Date,09_NAd,09_eggs_Y_,09_NEgg,09_hatch,09_NYng,09_Comm,10_Sp,10_Date,10_NAd,10_eggs_Y_,10_NEgg,10_hatch,10_NYng,10_Comm,11_Sp,11_Date,11_NAd,11_eggs_Y_,11_NEgg,11_hatch,11_NYng,11_Comm,12_Sp,12_Date,12_NAd,12_eggs_Y_,12_NEggLai,12_hatch,12_NYng,12_Comm,13_Sp,13_Date,13_NAd,13_eggs Y/N,13_NEggLaid,13_hatch,13_NYng,13_Comm,14_Sp,14_Date,14_NAd,14_eggs_Y_,14_NEggLai,14_hatch,14_NYng,14_Comm,15_Sp,15_Date,15_NAd,15_eggs_Y_,15_NEggLai,15_hatch,15_Nyng,15_Comm,16_Sp,16_Date,16_NAd,16_eggs_Y_,16_NEggLai,16_hatch,16_Nyng,16_Comm,17_Sp,17_Date,17_NAd,17_eggs_Y_,17_NEggLai,17_hatch,17_Nyng,17_Comm,18_Sp,18_Date,18_NAd,18_eggs_Y_,18_NEggLai,18_hatch,18_Nyng,18_Comm,18_Sp,18_Date,18_NAd,18_eggs_Y_,18_NEggLai,18_hatch,18_Nyng,18_Comm,18_Sp,18_Date,18_NAd,18_eggs_Y_,18_NEggLai,18_hatch,18_Nyng,18_Comm,2018_SpCom,F_PEFA,F_PEFA_12to18,F_RLHA 12-18,F_RLHA_12to18,F_Site Unk,2011_Field,Status,S1,S2,S3
2,1,2.109,3,1026,30,,3,2,71.8531,-80.9321,502360.3599,7972548.495,TRUE,TRUE,FALSE,2,PEFA,19-Jun-06,1,#,#,#,#,One adult flushed - photo;,not visited,#,#,#,#,#,#,#,not visited,not visited,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,RLHA,2011-08-01,1,#,#,#,0,"Used nest found, a bit of white wash, nice cliff.",not detected,2012-07-02,0,N,0,0,#,"no bird seen ; grassy smaller cliff compares to surrou#ing|July 2: No bird seen. Lot of ledges. Smaller grassy cliff, compared to surrou#ing cliffs",PEFA,7-2-2013,1,#,#,#,#,active pefa nest ; nest itself not visited but agitated female observed,PEFA,2014-08-17,2,Y,3,#,3,June 6: Pair arrived as we were walking away from site. Yelling a# perched on cliff.  August 17: 3 chicks ba#ed.,not detected,2015-06-19,0,#,#,#,#,no bird seen ; have checked twice,PEFA,26-06-2016,2,Y,4,4,4,June 26: female incubating. | August 5 : 4 chicks banded.,PEFA,17-06-2017,1,Y,4,4,4,"June 17 2017: PEFA female incubating, didn't flushed. Nest is about 30m from usual scrape, now right on wpt. August 7 - 4 young, adult male with nestlings.",PEFA,16-06-2018,2,Y,2,0,0,"Fem perched on nest on low grass ledge, did not flush",PEFA,15-07-2018,1,Y,2,0,0,fem incubatin on nest on longest grass ledge,PEFA,20-08-2018,2,Y,0,2,2,along long grass edge,PEFA,6,5,1,0,0,1-164,P,1,1,1
3,1,1.2,2,1026,30,,3,,71.8544,-80.9028,503378.6608,7972694.891,FALSE,TRUE,FALSE,1,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,RLHA,28/07/2008,2,Y,#,#,2,NEST; nestlings=15do; close to 8HC79;,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,RLHA,2012-07-02,2,Y,3,3,3,"HUGE cliff, chicks were u#er 5 days old|July 2: RLHA i#ividual. At least 2 chicks<5 days + 1 egg. HUGE cliff. August 3 chicks",not detected,7-12-2013,0,N,0,#,#,July 12 empty stick nest | August 7 empty stick nest,RLHA,2014-08-15,2,Y,1,#,1,June 6: Pair. Territorial call. Perched loosly on wide cliff. August 15: 1 chick ready to fly.,RLHA,2015-06-19,2,Y,#,#,3,"June 19 : rlha individual incubating. | August 3 : 3 chicks. 200m away from wpt, lower and in direction on Milne Inlet port.",not detected,26-06-2016,0,N,#,#,#,June 26: 2 empty stick nests.,not detected,17-06-2017,0,N,#,#,0,"June 17 2017: 2 old used stick nests|August 7 no adults detected, 2 unused stick nests",not detected,16-06-2018,0,N,#,#,0,"Old stick nest, no birds",not detected,15-07-2018,0,N,0,#,0,"no birds, old stick nest",not detected,20-08-2018,0,N,#,#,0,not detected,not detected,0,0,4,3,2,not detected,not detected,0,0,0
5,3,0.9,482,336,1,,,5,71.8412,-80.8536,505092.4194,7971226.024,TRUE,FALSE,FALSE,1,PEFA,8-Jun-06,2,#,#,#,#,Flushed from nest - photo;,not visited,#,#,#,#,#,#,#,not visited,not visited,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,PEFA,2011-08-01,1,#,#,#,#,"Could not locate the nest, but lots of white wash",GLGU,2012-07-02,2,Y,3,#,#,"HUGE cliff. Gull nest wright on wpt, 3 eggs. PEFA scrape just below|June 16: Probably not detected. Too far. Huge cliff. July 2: Gulls nest. 3 eggs. PEFA scrapes just below. Same huge cliff as sites 4 a# 6",not detected,6-9-2013,0,N,0,#,#,#,CORA,2014-06-06,2,Y,2,#,#,"June 6 Individual took off from nest. 2 or 3 chicks, black feathered (10 days). Aug 15 no birds detected",GLGU,2015-06-19,2,Y,#,#,#,June 19. GLGU on nest.  August 3 no birds detected,not detected,26-06-2016,0,N,#,#,#,"June 26: saw one bird took off from far, not sure which species, used ledge on wpt. August 5: no bird seen.",not detected,17-06-2017,0,N,#,#,0,"June 17 2017: 3 old used ledges on wpt, full of orange lichen, no bird seen. | June 20 2017 : no bird seen. | Aug 7 no adults detected",not detected,16-06-2018,0,N,#,#,0,"Old CAGO nest, no birds around",not detected,15-07-2018,0,N,#,#,0,CAGO incubating on nest,not detected,20-08-2018,0,N,#,#,0,no birds,not detected,2,0,0,0,0,1-114,P,0,0,0
6,1,0.759,357,388,1,,6,5,71.8368,-80.8319,505848.6049,7970737.219,TRUE,TRUE,FALSE,2,not detected,8-Jun-06,0,#,#,#,#,Good platform;,not visited,#,#,#,#,#,#,#,not visited,not visited,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,RLHA,2011-08-01,2,Y,2,2,2,"lots of white wash, old PEFA nest?, >/=2",RLHA,2012-07-02,2,Y,4,#,#,"HUGE cliff, lot of potential sites. No adult seen ; 4 eggs. 1 pefa took off from cliff nearby, but we didn't fi# nest|July 2: RLHA nest. 4 eggs. No adult seen. PEFA took off from cliff, didn't fi# nest. Huge cliff, lot of potential sites.",not detected,7-12-2013,0,N,0,#,#,#,PEFA,2014-08-15,2,Y,3,#,2,June 6: I#ividual took off from cliff. August 15: At least 2 chicks.,RLHA,2015-06-18,2,?,#,#,0,"June 18 : rlha individual on site seen on the 18th and pair present the 19th, but didn't located the nest. | August 3 : no roughs seen that time. Empty stick nest close to an obvious perch, about 20m from wpt. Could be missing them as cliff is huge.",PEFA,26-06-2016,2,Y,2,2,2,June 26: no bird seen. | August 5 : pefa nest found by chance while looking at site 357. No adult on site but at least 2 pefa chicks.,CORA,17-06-2017,1,Y,3,3,3,"June 17 2017: CORA nest on wpt. At least 3 chicks. 2 CAGO nests nearby. | June 20 2017: CORA and CAGOs located again, no peregrine.| August 7 -  4 CORA flying",not detected,16-06-2018,0,N,#,#,0,"CORA nest with plastic pieces, no birds",PEFA,15-07-2018,1,N,0,0,0,Fem flushed on orange to left of black,PEFA,20-08-2018,2,Y,0,#,1,first orange left of black,PEFA,3,3,3,2,0,14,A,0,1,1
7,1,1.6,450,1799,,,,7,71.8033,-80.7595,508382.467,7967009.206,TRUE,FALSE,FALSE,1,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,PEFA,26/06/2008,2,#,#,#,#,Nest-inc;,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,PEFA,2012-07-02,2,Y,#,#,#,"BIG cliff, female incubating, could'nt count eggs/chicks|July 2: PEFA female sitting on nest. Can't count eggs. Big cliff.",not visited,#,#,#,#,#,#,#,PEFA,2014-08-17,2,Y,3,#,3,"June 6: Pair perched on cliff, yelling. Stayed down cliff 10 minutes. August 17:  3 chicks ba#ed. All full crops.",not detected,2015-06-18,0,#,#,#,#,no bird seen,not detected,24-06-2016,0,N,#,#,#,"June 24: 2015 ledge detected, no bird seen. Another ledge located 200m away from wpt. Could have missed the bird.",not detected,17-06-2017,0,N,#,#,0,"June 17 2017: no bird seen, old used ledge on wpt, did the entire cliff. Aug 7 no birds detected. OSN.",not detected,16-06-2018,0,N,#,#,0,no birds,not detected,15-07-2018,0,N,#,#,0,no birds,not detected,20-08-2018,0,N,#,#,0,no birds,not detected,3,2,0,0,2,Aug-91,P,0,0,0
8,1,4.5,9,74,2,,,8,71.8702,-80.7133,509957.249,7974478.175,TRUE,FALSE,FALSE,1,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,PEFA,26/06/2008,2,#,#,#,#,Nest; inc;,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,PEFA,2011-08-01,2,Y,3,3,3,"1 old nest on cliff also,>/=3",not detected,2012-07-02,0,N,0,#,#,"BIG cliff, could be everywhere, no bird seen|July 2: No bird seen. Big cliff, nest could be anywhere. 70 meters away from site 9.",not visited,#,#,#,#,#,#,#,not detected,2014-06-06,0,N,#,#,#,Same cliff as site 9.,PEFA,2015-06-19,2,Y,2,#,0,"June 19 : female incubating. 2 eggs| August 3 : individual was at site, didn't locate nesting ledge nor chicks.",PEFA,26-06-2016,2,Y,1,1,0,"June 26: female on nest, 90m from wpt. | August 5 : no bird seen, ledge detected, sign of chicks presence, but failed.",PEFA,17-06-2017,2,Y,1,#,0,"June 17 2017: PEFA female perched at site, couldn't find the nest, the bird stayed around us, territorial. | June 20 2017: PEFA pair at site, female was on nest, 1 egg. We were right on laying period. Aug 7 - no birds detected",not detected,18-06-2018,0,N,#,#,0,no birds,not detected,15-07-2018,0,N,#,#,0,"no birds, close to 9",not detected,20-08-2018,0,N,#,#,0,no birds,not detected,5,3,0,0,2,3-172,A,0,0,0
9,1,4.521,8,74,2,,,8,71.8701,-80.7112,510030.236,7974467.37,TRUE,TRUE,FALSE,2,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,RLHA,26/06/2008,2,Y,5,#,#,"Nest (2); two nests, 1 egg (old from last yr) a# 5 eggs new; two nests only 10 m apart (one is old)",not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not detected,2011-08-01,0,N,0,#,#,Same cliff as 3-172,PEFA,2012-07-02,2,Y,4,#,#,"BIG cliff, goose nest closeby|July 2: PEFA individual. 4 eggs. Goose nest. Big cliff. 70 meters away from site 8.",not visited,#,#,#,#,#,#,#,PEFA,2014-08-17,2,Y,2,#,2,"June 6: PEFA pair yelling call. Perched on cliff. August 17: 2 chicks, almost ready to fly.",not detected,2015-06-19,0,#,#,#,#,"May 29 ptarmigan flock, no raptors",not detected,5-08-2016,0,N,#,#,0,June 26: no birds detected | August 5: definitly same cliff structure than site 8.,not detected,17-06-2017,0,N,#,#,0,June 17 : no bird seen. | June 20: no bird seen.| Aug 7 no birds detected,not detected,18-06-2018,0,N,#,#,0,"Old RLHA nest, no birds",PEFA,15-07-2018,1,N,0,0,0,fem incubating couldn’t see egss,not detected,20-08-2018,0,N,#,#,0,failed nest,PEFA,3,3,1,0,2,22-Apr,A,0,1,0
10,1,4.356,9,913,,,,,71.8634,-80.696,510561.9075,7973722.655,FALSE,TRUE,FALSE,1,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,RLHA,30/05/2008,2,Y,#,#,#,NEST; on nest;,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not detected,2011-08-01,0,N,0,#,0,"2 old stick nests, lots of white wash but no birds.",RLHA,2012-07-02,2,Y,3,3,3,"HUGE cliff, 3 chicks arou# 5 days|July 2: RLHA i#ividual. 3 chicks arou# 5 days old. HUGE cliff.",not visited,#,#,#,#,#,#,#,RLHA,2014-08-17,2,Y,4,#,2,"June 6: Territorial i#ividual calling. Perched twice on cliff. August 17: At least 2 chicks, fledged.",RLHA,2015-06-19,2,Y,#,#,1,June 19 : individual incubating. | August 3 : 1 chick.,not detected,5-08-2016,0,N,#,#,0,June 26: no birds detected | August 5: 2 empty stick nests. No sign of breeding.,RLHA,17-06-2017,1,N,0,0,0,"June 17 2017: RLHA individual was perched at site, took off and left when we came. 3 empty stick nests. The biggest one looked fresh. | June 20 2017: same pattern: RLHA individual was perched at site, took off and left when we came. Probably a non breeder occupiying its site. | Aug 7 no birds detected",RLHA,18-06-2018,2,Y,2,0,0,No adults around but RLHA eggs in nest,not detected,15-07-2018,0,N,#,#,0,"no birds, couple old stick nests",not detected,20-08-2018,0,N,#,#,0,no birds,RLHA,0,0,6,5,2,23-Apr,A,1,0,0
11,0,27.8,353,225,,,,,71.241,-80.6808,511456.8685,7904306.011,TRUE,FALSE,FALSE,1,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,PEFA,#,1,#,0,#,#,"f/c, NEST; e nest;",not visited,not visited,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not detected,2012-07-02,0,N,0,#,#,no bird seen,not detected,6-25-2013,0,N,0,#,#,#,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,Not visited,#,#,#,#,#,#,#,Not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not vistited,1,0,0,0,1,6-Jul,P,#,#,#
12,0,25.3,354,491,,,,,71.2573,-80.6332,513154.3108,7906133.65,TRUE,FALSE,FALSE,1,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,Site unknown,PEFA,#,1,#,#,#,#,"f/c, NEST;",not visited,not visited,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,PEFA,2012-07-02,2,Y,4,#,#,Canyon : nest on smaller cliff facing bigger cliff where wpt is|July 2: PEFA pair. 4 eggs. Access from top with ropes. Nest on smaller cliff facing bigger cliff where waypoint is.,not detected,6-25-2013,0,N,0,#,#,#,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,Not visited,#,#,#,#,#,#,#,Not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not visited,#,#,#,#,#,#,#,not vistited,2,1,0,0,1,7-Jul,P,#,#,#
