Site,Order,Lat,Long,20_Sp_1,20_Date,20_NAd,20_eggs_Y or N,20_NEggLai,20_hatch,20_Nyng,20_Comm,20_Sp_2,20_Date,20_NAd,20_eggs_Yor N,20_NEggLai,20_hatch,20_Nyng,20_Comm,20_Sp_3,20_Date,20_NAd,20_eggs_Y or N,20_NEggLai,20_hatch,20_Nyng,20_Comm
2,154,71.8531,-80.9321,not detected,28-Jun-20,NA,NA,NA,NA,NA,NA,RLHA,20-Jul-20,0,y,0,3,unk,No parents present,not detected,14-Aug-20,0,y,unk,unk,0,"lots of white-wash, looks like young were present at some point but failed. One egg in nest."
3,153,71.8544,-80.9028,not detected,28-Jun-20,NA,NA,NA,NA,NA,NA,not detected,20-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
5,151,71.8412,-80.8536,not detected,28-Jun-20,NA,NA,NA,NA,NA,NA,not detected,20-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
6,149,71.8368,-80.8319,not detected,28-Jun-20,NA,NA,NA,NA,NA,NA,RLHA,20-Jul-20,0,y,0,2,unk,No parents present,RLHA,14-Aug-20,1,n,unk,unk,1,"may be more young, shadow makes it difficult to distinguish individuals"
7,147,71.8033,-80.7595,not detected,28-Jun-20,NA,NA,NA,NA,NA,NA,RLHA,20-Jul-20,0,y,3,0,unk,No parents present,not detected,14-Aug-20,0,n,unk,unk,NA,"empty nest in 2020 waypoint, no whitewash or eggs. Checked area to make sure, but couldn't find any other nests or signs of breeding"
8,164,71.8702,-80.7133,not detected,28-Jun-20,NA,NA,NA,NA,NA,NA,not detected,20-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
9,165,71.8701,-80.7112,not detected,28-Jun-20,NA,NA,NA,NA,NA,NA,not detected,20-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
10,166,71.8634,-80.6960,not detected,28-Jun-20,NA,NA,NA,NA,NA,NA,RLHA,20-Jul-20,1,y,1,1,unk,Parent did not flush,RLHA,14-Aug-20,0,n,unk,unk,4,NA
14,143,71.7708,-80.5799,not detected,28-Jun-20,NA,NA,NA,NA,NA,NA,not detected,20-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
15,130,71.7449,-80.5305,PEFA,27-Jun-20,2,unk,unk,unk,unk,Male flushed,PEFA,19-Jul-20,2,unk,unk,unk,unk,"Female incubating, did not flush",PEFA,14-Aug-20,0,n,unk,unk,3,NA
16,167,71.8196,-80.5177,not detected,28-Jun-20,NA,NA,NA,NA,NA,NA,not detected,20-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
17,168,71.8139,-80.5009,not detected,28-Jun-20,NA,NA,NA,NA,NA,NA,PEFA,20-Jul-20,2,y,unk,unk,unk,"Female incubating, did not flush",not detected,14-Aug-20,0,n,unk,unk,0,NA
18,170,71.7948,-80.4523,not detected,28-Jun-20,NA,NA,NA,NA,NA,NA,not detected,20-Jul-20,NA,NA,NA,NA,NA,NA,not detected,14-Aug-20,NA,NA,NA,NA,NA,NA
19,171,71.7790,-80.4441,not detected,28-Jun-20,NA,NA,NA,NA,NA,NA,RLHA,20-Jul-20,0,y,0,3,y,No parents present,not detected,14-Aug-20,0,n,unk,unk,0,"lots of white-wash around nest, but empty. No adults"
20,127,71.6842,-80.4395,PEFA,27-Jun-20,2,unk,unk,unk,unk,"Male flushed, female incubating, waypoint taken",PEFA,19-Jul-20,1,unk,unk,unk,unk,"Female incubating, did not flush",PEFA,14-Aug-20,0,n,unk,unk,3,NA
21,174,71.7585,-80.3982,not detected,28-Jun-20,NA,NA,NA,NA,NA,NA,RLHA,20-Jul-20,0,y,3,0,unk,No parents present,not detected,14-Aug-20,0,n,unk,unk,0,"found nest but no whitewash, no young or adults."
