Transect,Station,GPS,trap,sp,sex,weight,age,missfire,Date,Time,comments
1,1,  71 .33727            079.56030                     ,NA,NA,NA,NA,NA,N,18-Jul-18,12:28,No activity present
1,2,  71.33742            079.56042,NA,NA,NA,NA,NA,N,18-Jul-18,12:29,No activity present
1,3,  71 .33759           079.56032,NA,NA,NA,NA,NA,N,18-Jul-18,12:30,No activity present
1,4,  71 .33773            079.56064,NA,NA,NA,NA,NA,N,18-Jul-18,12:30,No activity present
1,5,  71.33788            079.56086,NA,NA,NA,NA,NA,N,18-Jul-18,12:31,No activity present
1,6,  71 .33801            079.56112,NA,NA,NA,NA,NA,N,18-Jul-18,12:31,No activity present
1,7,  71 .33814            079.56136,NA,NA,NA,NA,NA,N,18-Jul-18,12:32,No activity present
1,8,  71 .33831            079.56153,NA,NA,NA,NA,NA,N,18-Jul-18,12:32,No activity present
1,9,  71 .33853            079.56152,NA,NA,NA,NA,NA,N,18-Jul-18,12:33,No activity present
1,10,  71 .33869            079.56165,NA,NA,NA,NA,NA,N,18-Jul-18,12:34,No activity present
1,11,  71 .33884            079.56210,NA,NA,NA,NA,NA,N,18-Jul-18,12:34,No activity present
1,12,  71 .33898            079.56239,NA,NA,NA,NA,NA,Y,18-Jul-18,12:35,T1 MF PB still on trap plate
1,13,  71 .33907            079.56285,NA,NA,NA,NA,NA,N,18-Jul-18,12:36,No activity present
1,14,  71 .33923           079.56318,NA,NA,NA,NA,NA,N,18-Jul-18,12:37,No activity present
1,15,  71 .33938            079.56359,NA,NA,NA,NA,NA,N,18-Jul-18,12:38,No activity present
1,16,  71 .33956            079.56361,NA,NA,NA,NA,NA,N,18-Jul-18,12:38,No activity present
1,17,  71 .33970           079.56394,NA,NA,NA,NA,NA,N,18-Jul-18,12:39,No activity present
1,18,  71 .33972           079.56452,NA,NA,NA,NA,NA,N,18-Jul-18,12:44,Traps weren't set
1,19,  71 .33994            079.56442,NA,NA,NA,NA,NA,N,18-Jul-18,12:39,No activity present
1,20,  71 .34014            079.56446,NA,NA,NA,NA,NA,N,18-Jul-18,12:40,No activity present
1,1,  71 .33727            079.56030                     ,NA,NA,NA,NA,NA,N,19-Jul-18,15:30,No activity present
1,2,  71.33742            079.56042,NA,NA,NA,NA,NA,N,19-Jul-18,15:30,No activity present
1,3,  71 .33759           079.56032,NA,NA,NA,NA,NA,N,19-Jul-18,15:31,No activity present
1,4,  71 .33773            079.56064,NA,NA,NA,NA,NA,N,19-Jul-18,15:31,No activity present
1,5,  71.33788            079.56086,NA,NA,NA,NA,NA,N,19-Jul-18,15:32,No activity present
1,6,  71 .33801            079.56112,NA,NA,NA,NA,NA,N,19-Jul-18,15:32,No activity present
1,7,  71 .33814            079.56136,NA,NA,NA,NA,NA,N,19-Jul-18,15:33,No activity present
1,8,  71 .33831            079.56153,NA,NA,NA,NA,NA,N,19-Jul-18,15:33,No activity present
1,9,  71 .33853            079.56152,NA,NA,NA,NA,NA,N,19-Jul-18,15:33,No activity present
1,10,  71 .33869            079.56165,NA,NA,NA,NA,NA,N,19-Jul-18,15:34,No activity present
1,11,  71 .33884            079.56210,NA,NA,NA,NA,NA,N,19-Jul-18,15:34,No activity present
1,12,  71 .33898            079.56239,NA,NA,NA,NA,NA,N,19-Jul-18,15:34,No activity present
1,13,  71 .33907            079.56285,NA,NA,NA,NA,NA,N,19-Jul-18,15:35,No activity present
1,14,  71 .33923           079.56318,NA,NA,NA,NA,NA,N,19-Jul-18,15:35,No activity present
1,15,  71 .33938            079.56359,NA,NA,NA,NA,NA,N,19-Jul-18,15:36,No activity present
1,16,  71 .33956            079.56361,NA,NA,NA,NA,NA,N,19-Jul-18,15:36,No activity present
1,17,  71 .33970           079.56394,NA,NA,NA,NA,NA,N,19-Jul-18,15:37,No activity present
1,18,  71 .33972           079.56452,NA,NA,NA,NA,NA,Y ,19-Jul-18,15:37,T2 MF PB still on trap plate
1,19,  71 .33994            079.56442,NA,NA,NA,NA,NA,N,19-Jul-18,15:37,No activity present
1,20,  71 .34014            079.56446,NA,NA,NA,NA,NA,N,19-Jul-18,15:37,No activity present
1,1,  71 .33727            079.56030                     ,NA,NA,NA,NA,NA,N,20-Jul-18,15:47,No activity present
1,2,  71.33742            079.56042,NA,NA,NA,NA,NA,N,20-Jul-18,15:47,No activity present
1,3,  71 .33759           079.56032,NA,NA,NA,NA,NA,N,20-Jul-18,15:48,No activity present
1,4,  71 .33773            079.56064,NA,NA,NA,NA,NA,N,20-Jul-18,15:48,No activity present
1,5,  71.33788            079.56086,NA,NA,NA,NA,NA,N,20-Jul-18,15:48,No activity present
1,6,  71 .33801            079.56112,NA,NA,NA,NA,NA,N,20-Jul-18,15:49,No activity present
1,7,  71 .33814            079.56136,NA,NA,NA,NA,NA,N,20-Jul-18,15:49,No activity present
1,8,  71 .33831            079.56153,NA,NA,NA,NA,NA,N,20-Jul-18,15:50,No activity present
1,9,  71 .33853            079.56152,NA,NA,NA,NA,NA,N,20-Jul-18,15:50,No activity present
1,10,  71 .33869            079.56165,NA,NA,NA,NA,NA,N,20-Jul-18,15:50,No activity present
1,11,  71 .33884            079.56210,NA,NA,NA,NA,NA,N,20-Jul-18,15:51,No activity present
1,12,  71 .33898            079.56239,NA,NA,NA,NA,NA,N,20-Jul-18,15:51,No activity present
1,13,  71 .33907            079.56285,NA,NA,NA,NA,NA,N,20-Jul-18,15:51,No activity present
1,14,  71 .33923           079.56318,NA,NA,NA,NA,NA,N,20-Jul-18,15:52,No activity present
1,15,  71 .33938            079.56359,NA,NA,NA,NA,NA,N,20-Jul-18,15:52,No activity present
1,16,  71 .33956            079.56361,NA,NA,NA,NA,NA,N,20-Jul-18,15:52,No activity present
1,17,  71 .33970           079.56394,NA,NA,NA,NA,NA,N,20-Jul-18,15:53,No activity present
1,18,  71 .33972           079.56452,NA,NA,NA,NA,NA,Y,20-Jul-18,15:53,"T1 MF, PB still present"
1,19,  71 .33994            079.56442,NA,NA,NA,NA,NA,N,20-Jul-18,15:54,No activity present
1,20,  71 .34014            079.56446,NA,NA,NA,NA,NA,N,20-Jul-18,15:54,No activity present
1,1,  71 .33727            079.56030                     ,NA,NA,NA,NA,NA,N,21-Jul-18,18:09,No activity present
1,2,  71.33742            079.56042,NA,NA,NA,NA,NA,N,21-Jul-18,18:09,No activity present
1,3,  71 .33759           079.56032,NA,NA,NA,NA,NA,N,21-Jul-18,18:09,No activity present
1,4,  71 .33773            079.56064,NA,NA,NA,NA,NA,N,21-Jul-18,18:10,No activity present
1,5,  71.33788            079.56086,NA,NA,NA,NA,NA,N,21-Jul-18,18:10,No activity present
1,6,  71 .33801            079.56112,NA,NA,NA,NA,NA,Y,21-Jul-18,18:10,"T3 MF, Replaced trap"
1,7,  71 .33814            079.56136,NA,NA,NA,NA,NA,N,21-Jul-18,18:11,No activity present
1,8,  71 .33831            079.56153,NA,NA,NA,NA,NA,N,21-Jul-18,18:11,No activity present
1,9,  71 .33853            079.56152,NA,NA,NA,NA,NA,N,21-Jul-18,18:11,No activity present
1,10,  71 .33869            079.56165,NA,NA,NA,NA,NA,N,21-Jul-18,18:12,No activity present
1,11,  71 .33884            079.56210,NA,NA,NA,NA,NA,N,21-Jul-18,18:12,No activity present
1,12,  71 .33898            079.56239,NA,NA,NA,NA,NA,N,21-Jul-18,18:13,No activity present
1,13,  71 .33907            079.56285,NA,NA,NA,NA,NA,N,21-Jul-18,18:13,No activity present
1,14,  71 .33923           079.56318,NA,NA,NA,NA,NA,N,21-Jul-18,18:13,No activity present
1,15,  71 .33938            079.56359,NA,NA,NA,NA,NA,N,21-Jul-18,18:14,No activity present
1,16,  71 .33956            079.56361,NA,NA,NA,NA,NA,N,21-Jul-18,18:14,No activity present
1,17,  71 .33970           079.56394,NA,NA,NA,NA,NA,N,21-Jul-18,18:14,No activity present
1,18,  71 .33972           079.56452,NA,NA,NA,NA,NA,N,21-Jul-18,18:15,No activity present
1,19,  71 .33994            079.56442,NA,NA,NA,NA,NA,N,21-Jul-18,18:15,No activity present
1,20,  71 .34014            079.56446,NA,NA,NA,NA,NA,N,21-Jul-18,18:15,No activity present
1,1,  71 .33727            079.56030                     ,NA,NA,NA,NA,NA,N,22-Jul-18,15:35,No activity present
1,2,  71.33742            079.56042,NA,NA,NA,NA,NA,N,22-Jul-18,15:35,No activity present
1,3,  71 .33759           079.56032,NA,NA,NA,NA,NA,N,22-Jul-18,15:36,No activity present
1,4,  71 .33773            079.56064,NA,NA,NA,NA,NA,N,22-Jul-18,15:36,No activity present
1,5,  71.33788            079.56086,NA,NA,NA,NA,NA,N,22-Jul-18,15:36,No activity present
1,6,  71 .33801            079.56112,NA,NA,NA,NA,NA,N,22-Jul-18,15:37,No activity present
1,7,  71 .33814            079.56136,NA,NA,NA,NA,NA,N,22-Jul-18,15:37,No activity present
1,8,  71 .33831            079.56153,NA,NA,NA,NA,NA,N,22-Jul-18,15:37,No activity present
1,9,  71 .33853            079.56152,NA,NA,NA,NA,NA,N,22-Jul-18,15:38,No activity present
1,10,  71 .33869            079.56165,NA,NA,NA,NA,NA,Y,22-Jul-18,15:38,"T1 MF, PB still present"
1,11,  71 .33884            079.56210,NA,NA,NA,NA,NA,Y,22-Jul-18,15:39,"T2 MF, PB still present"
1,12,  71 .33898            079.56239,NA,NA,NA,NA,NA,N,22-Jul-18,15:39,No activity present
1,13,  71 .33907            079.56285,NA,NA,NA,NA,NA,N,22-Jul-18,15:39,No activity present
