"","SiteID","Lat","Long","territory"
"1",25,71.7369,-80.3271,13
"2",475,71.7343,-80.313,81
"3",59,71.219,-79.7919,26
"4",338,71.2181,-79.7897,82
"5",86,71.3444,-79.4464,39
"6",485,71.3413,-79.4336,83
"7",359,71.4306,-80.0472,56
"8",380,71.4306,-80.04,84
"9",2,71.8531,-80.9321,1
"10",6,71.8368,-80.8319,2
"11",7,71.8033,-80.7595,3
"12",8,71.8702,-80.7133,4
"13",9,71.8701,-80.7112,4
"14",14,71.7708,-80.5799,5
"15",15,71.7449,-80.5305,6
"16",17,71.8139,-80.5009,7
"17",18,71.7948,-80.4523,8
"18",19,71.779,-80.4441,9
"19",20,71.6842,-80.4395,10
"20",22,71.6184,-80.3961,11
"21",24,71.5549,-80.3386,12
"22",26,71.5088,-80.3042,14
"23",28,71.4765,-80.2676,15
"24",30,71.7112,-80.2472,16
"25",33,71.4522,-80.2294,17
"26",34,71.7048,-80.2042,18
"27",35,71.7038,-80.1955,18
"28",40,71.3882,-80.1527,19
"29",43,71.2862,-80.0018,20
"30",46,71.3825,-79.9647,21
"31",49,71.2964,-79.9196,22
"32",50,71.458,-79.8961,23
"33",53,71.415,-79.8918,24
"34",55,71.3436,-79.8538,25
"35",61,71.3562,-79.7641,27
"36",62,71.4698,-79.7558,28
"37",63,71.4707,-79.7455,28
"38",68,71.3776,-79.7084,29
"39",69,71.4111,-79.7058,30
"40",70,71.4658,-79.6706,31
"41",71,71.1756,-79.6665,32
"42",74,71.3218,-80.195,33
"43",75,71.3616,-79.6362,34
"44",80,71.4476,-79.5701,35
"45",81,71.399,-79.5737,36
"46",82,71.3327,-79.5619,37
"47",83,71.3286,-79.5424,37
"48",85,71.4441,-79.5157,38
"49",88,71.3374,-79.44,39
"50",91,71.3333,-79.3849,40
"51",94,71.3696,-79.3786,41
"52",98,71.214,-79.3739,42
"53",99,71.2144,-79.3719,42
"54",100,71.3304,-79.3486,43
"55",101,71.1373,-79.3612,44
"56",107,71.3291,-79.2855,45
"57",108,71.3161,-79.2763,46
"58",114,71.3097,-79.1953,47
"59",122,71.2881,-79.1717,48
"60",128,71.2738,-79.1069,49
"61",135,71.2271,-79.0682,50
"62",138,71.2597,-79.0468,51
"63",141,71.2547,-79.0186,52
"64",150,71.2444,-78.9136,53
"65",160,71.2483,-78.8876,54
"66",164,71.227,-78.8723,55
"67",165,71.2268,-78.872,55
"68",356,71.4708,-80.2779,15
"69",357,71.8392,-80.84,2
"70",360,71.7598,-80.4008,57
"71",374,71.5142,-80.3067,14
"72",382,71.6283,-80.2852,58
"73",383,71.654,-80.4598,59
"74",384,71.7214,-80.7419,60
"75",385,71.3612,-80.2365,61
"76",387,71.9265,-80.7551,62
"77",388,71.9083,-80.8245,63
"78",390,71.8131,-80.4997,7
"79",391,71.9302,-80.8486,64
"80",400,71.8065,-80.7042,65
"81",442,71.3446,-79.7615,66
"82",444,71.381,-80.2278,67
"83",445,71.417,-80.3405,68
"84",447,71.3688,-80.1314,69
"85",448,71.5149,-80.3461,70
"86",450,71.8069,-80.709,65
"87",464,71.4097,-79.8855,24
"88",465,71.4478,-79.7967,71
"89",470,71.4396,-79.4363,72
"90",472,71.3823,-79.4528,73
"91",474,71.4332,-79.2549,74
"92",476,71.3004,-79.1152,75
"93",478,71.31,-79.2273,76
"94",481,71.7383,-80.3351,13
"95",483,71.5163,-80.3323,70
"96",486,71.8225,-81.1747,77
"97",487,71.2466,-78.8573,78
"98",489,71.7139,-80.6963,79
"99",490,71.386,-80.228,67
"100",491,71.8052,-81.1074,80
