"","SiteID","Lat","Long","territory","terr_lat","terr_long"
"1",3,71.8544,-80.9028,1,71.85375,-80.91745
"2",401,71.8751,-80.8619,54,71.8751,-80.8619
"3",6,71.8368,-80.8319,2,71.838,-80.83595
"4",451,71.8227,-80.8751,55,71.8227,-80.8751
"5",18,71.7948,-80.4523,7,71.7948,-80.4523
"6",19,71.779,-80.4441,56,71.779,-80.4441
"7",21,71.7585,-80.3982,8,71.7585,-80.3982
"8",360,71.7598,-80.4008,57,71.7598,-80.4008
"9",28,71.4765,-80.2676,11,71.466,-80.258
"10",375,71.4607,-80.1918,58,71.4607,-80.1918
"11",34,71.7048,-80.2042,12,71.708,-80.2257
"12",386,71.7172,-80.2554,59,71.7172,-80.2554
"13",32,71.391,-80.2381,360,71.391,-80.2381
"14",41,71.3875,-80.1483,260,71.3875,-80.1483
"15",355,71.4038,-80.1698,13,71.4038,-80.1698
"16",379,71.4002,-80.1513,60,71.4002,-80.1513
"17",48,71.2978,-79.9221,16,71.2978,-79.9221
"18",51,71.2947,-79.9039,61,71.2947,-79.9039
"19",461,71.44,-79.928,17,71.449,-79.91205
"20",462,71.4489,-79.8944,62,71.4489,-79.8944
"21",58,71.2447,-79.8005,19,71.2288333333333,-79.8008
"22",338,71.2181,-79.7897,63,71.2181,-79.7897
"23",61,71.3562,-79.7641,20,71.35725,-79.7715
"24",66,71.3441,-79.7168,64,71.3441,-79.7168
"25",466,71.4669,-79.8101,21,71.4643666666667,-79.7621333333333
"26",467,71.4634,-79.7131,165,71.4634,-79.7131
"27",477,71.46,-79.8083,65,71.46,-79.8083
"28",70,71.4658,-79.6706,23,71.4658,-79.6706
"29",492,71.4551,-79.6043,66,71.4551,-79.6043
"30",80,71.4476,-79.5701,26,71.4464333333333,-79.548
"31",85,71.4441,-79.5157,67,71.4441,-79.5157
"32",86,71.3444,-79.4464,28,71.34285,-79.44
"33",88,71.3374,-79.44,68,71.3374,-79.44
"34",115,71.3087,-79.1925,32,71.296,-79.17585
"35",119,71.2918,-79.19,69,71.2918,-79.19
"36",138,71.2597,-79.0468,35,71.24865,-79.0392
"37",143,71.2552,-79.0151,170,71.2552,-79.0151
"38",145,71.2432,-78.9911,70,71.2432,-78.9911
"39",359,71.4306,-80.0472,38,71.4306,-80.0472
"40",460,71.4334,-80.0222,71,71.4334,-80.0222
"41",468,71.3662,-79.4955,40,71.3762,-79.4669
"42",473,71.382,-79.4493,72,71.382,-79.4493
"43",389,71.3553,-79.3048,43,71.3553,-79.3048
"44",494,71.367067,-79.366506,73,71.367067,-79.366506
"45",2,71.8531,-80.9321,1,71.85375,-80.91745
"46",7,71.8033,-80.7595,3,71.8049,-80.73185
"47",10,71.8634,-80.696,4,71.8634,-80.696
"48",14,71.7708,-80.5799,5,71.77585,-80.596
"49",16,71.8196,-80.5177,6,71.81675,-80.5093
"50",17,71.8139,-80.5009,6,71.81675,-80.5093
"51",25,71.7369,-80.3271,9,71.7369,-80.3271
"52",26,71.5088,-80.3042,10,71.5088,-80.3042
"53",30,71.7112,-80.2472,12,71.708,-80.2257
"54",43,71.2862,-80.0018,14,71.2862,-80.0018
"55",46,71.3825,-79.9647,15,71.3825,-79.9647
"56",50,71.458,-79.8961,17,71.449,-79.91205
