"","SiteID","Lat","Long","territory","terr_lat","terr_long"
"1",21,71.7585,-80.3982,10,71.7585,-80.3982
"2",360,71.7598,-80.4008,83,71.7598,-80.4008
"3",48,71.2978,-79.9221,20,71.2978,-79.9221
"4",51,71.2947,-79.9039,84,71.2947,-79.9039
"5",86,71.3444,-79.4464,37,71.34285,-79.44
"6",88,71.3374,-79.44,85,71.3374,-79.44
"7",359,71.4306,-80.0472,54,71.4306,-80.0472
"8",460,71.4334,-80.0222,86,71.4334,-80.0222
"9",466,71.4669,-79.8101,77,71.4669,-79.8101
"10",477,71.46,-79.8083,87,71.46,-79.8083
"11",2,71.8531,-80.9321,1,71.8531,-80.9321
"12",3,71.8544,-80.9028,2,71.8544,-80.9028
"13",6,71.8368,-80.8319,3,71.838,-80.83595
"14",7,71.8033,-80.7595,4,71.8033,-80.7595
"15",10,71.8634,-80.696,5,71.8634,-80.696
"16",14,71.7708,-80.5799,6,71.7708,-80.5799
"17",16,71.8196,-80.5177,7,71.81675,-80.5093
"18",17,71.8139,-80.5009,7,71.81675,-80.5093
"19",18,71.7948,-80.4523,8,71.7948,-80.4523
"20",19,71.779,-80.4441,9,71.779,-80.4441
"21",25,71.7369,-80.3271,11,71.7369,-80.3271
"22",26,71.5088,-80.3042,12,71.5088,-80.3042
"23",28,71.4765,-80.2676,13,71.4765,-80.2676
"24",30,71.7112,-80.2472,14,71.7142,-80.2513
"25",32,71.391,-80.2381,15,71.391,-80.2381
"26",34,71.7048,-80.2042,16,71.7048,-80.2042
"27",41,71.3875,-80.1483,17,71.3875,-80.1483
"28",43,71.2862,-80.0018,18,71.2862,-80.0018
"29",46,71.3825,-79.9647,19,71.3825,-79.9647
"30",50,71.458,-79.8961,21,71.458,-79.8961
"31",54,71.3492,-79.8631,22,71.3515,-79.85805
"32",56,71.2211,-79.8042,23,71.2199666666667,-79.7972
"33",57,71.2207,-79.7977,23,71.2199666666667,-79.7972
"34",58,71.2447,-79.8005,24,71.2447,-79.8005
"35",61,71.3562,-79.7641,25,71.35725,-79.7715
"36",62,71.4698,-79.7558,26,71.4698,-79.7558
"37",64,71.3982,-79.7033,27,71.3982,-79.7033
"38",65,71.4564,-79.7205,28,71.4599,-79.7168
"39",66,71.3441,-79.7168,29,71.3441,-79.7168
"40",69,71.4111,-79.7058,30,71.4111,-79.7058
"41",70,71.4658,-79.6706,31,71.4658,-79.6706
"42",72,71.1779,-79.666,32,71.1779,-79.666
"43",75,71.3616,-79.6362,33,71.3614,-79.6406
"44",80,71.4476,-79.5701,34,71.4468,-79.5591
"45",83,71.3286,-79.5424,35,71.3286,-79.5424
"46",84,71.4457,-79.5258,36,71.4449,-79.52075
"47",85,71.4441,-79.5157,36,71.4449,-79.52075
"48",95,71.2227,-79.3808,38,71.2227,-79.3808
"49",102,71.13,-79.3554,39,71.13,-79.3554
"50",107,71.3291,-79.2855,40,71.32705,-79.2793
"51",109,71.325,-79.2731,40,71.32705,-79.2793
"52",115,71.3087,-79.1925,41,71.3087,-79.1925
"53",119,71.2918,-79.19,42,71.2918,-79.19
"54",124,71.2833,-79.1592,43,71.2833,-79.1592
"55",127,71.2766,-79.1223,44,71.2766,-79.1223
"56",129,71.2723,-79.0988,45,71.27235,-79.09475
"57",135,71.2271,-79.0682,46,71.2271,-79.0682
"58",138,71.2597,-79.0468,47,71.2597,-79.0468
"59",139,71.2376,-79.0316,48,71.2376,-79.0316
"60",143,71.2552,-79.0151,49,71.2552,-79.0151
"61",145,71.2432,-78.9911,50,71.2432,-78.9911
"62",148,71.2451,-78.9201,51,71.2451,-78.9201
"63",173,71.2203,-78.8383,52,71.2203,-78.8383
"64",338,71.2181,-79.7897,23,71.2199666666667,-79.7972
"65",339,71.3612,-79.645,33,71.3614,-79.6406
"66",355,71.4038,-80.1698,53,71.402,-80.16055
"67",357,71.8392,-80.84,3,71.838,-80.83595
"68",375,71.4607,-80.1918,55,71.4607,-80.1918
"69",376,71.5028,-80.1798,56,71.5028,-80.1798
"70",377,71.3801,-79.4524,57,71.3814666666667,-79.4515
"71",378,71.4543,-80.2251,58,71.4543,-80.2251
"72",379,71.4002,-80.1513,53,71.402,-80.16055
"73",382,71.6283,-80.2852,59,71.6283,-80.2852
"74",385,71.3612,-80.2365,60,71.3612,-80.2365
"75",386,71.7172,-80.2554,14,71.7142,-80.2513
"76",389,71.3553,-79.3048,61,71.3553,-79.3048
"77",391,71.9302,-80.8486,62,71.9302,-80.8486
"78",392,71.9708,-80.82,63,71.9708,-80.82
"79",393,71.9339,-80.7304,64,71.9339,-80.7304
"80",400,71.8065,-80.7042,65,71.8065,-80.7042
"81",401,71.8751,-80.8619,66,71.8751,-80.8619
"82",438,71.7809,-80.6121,67,71.7809,-80.6121
"83",443,71.3538,-79.853,22,71.3515,-79.85805
"84",446,71.4672,-80.2813,68,71.4672,-80.2813
"85",449,71.5976,-80.3842,69,71.5976,-80.3842
"86",451,71.8227,-80.8751,70,71.8227,-80.8751
"87",452,71.8524,-81.0287,71,71.8524,-81.0287
"88",453,71.2724,-79.0907,45,71.27235,-79.09475
"89",454,71.6801,-80.2282,72,71.6801,-80.2282
"90",455,71.7833,-80.2546,73,71.7833,-80.2546
"91",461,71.44,-79.928,74,71.44,-79.928
"92",462,71.4489,-79.8944,75,71.4489,-79.8944
"93",463,71.4125,-79.8853,76,71.4125,-79.8853
"94",467,71.4634,-79.7131,28,71.4599,-79.7168
"95",468,71.3662,-79.4955,78,71.3662,-79.4955
"96",469,71.446,-79.5481,34,71.4468,-79.5591
"97",472,71.3823,-79.4528,57,71.3814666666667,-79.4515
