"","SiteID","Lat","Long","sum"
"1","10",71.8634,-80.696,6
"2","389",71.3553,-79.3048,5
"3","452",71.8524,-81.0287,5
"4","463",71.4125,-79.8853,5
"5","72",71.1779,-79.666,5
"6","119",71.2918,-79.19,4
"7","3",71.8544,-80.9028,4
"8","359",71.4306,-80.0472,4
"9","375",71.4607,-80.1918,4
"10","379",71.4002,-80.1513,4
"11","455",71.7833,-80.2546,4
"12","46",71.3825,-79.9647,4
"13","473",71.382,-79.4493,4
"14","70",71.4658,-79.6706,4
"15","86",71.3444,-79.4464,4
"16","115",71.3087,-79.1925,3
"17","124",71.2833,-79.1592,3
"18","145",71.2432,-78.9911,3
"19","148",71.2451,-78.9201,3
"20","360",71.7598,-80.4008,3
"21","386",71.7172,-80.2554,3
"22","401",71.8751,-80.8619,3
"23","462",71.4489,-79.8944,3
"24","484",71.6534,-80.4201,3
"25","51",71.2947,-79.9039,3
"26","54",71.3492,-79.8631,3
"27","66",71.3441,-79.7168,3
"28","83",71.3286,-79.5424,3
"29","85",71.4441,-79.5157,3
"30","109",71.325,-79.2731,2
"31","129",71.2723,-79.0988,2
"32","139",71.2376,-79.0316,2
"33","14",71.7708,-80.5799,2
"34","143",71.2552,-79.0151,2
"35","18",71.7948,-80.4523,2
"36","21",71.7585,-80.3982,2
"37","338",71.2181,-79.7897,2
"38","339",71.3612,-79.645,2
"39","355",71.4038,-80.1698,2
"40","449",71.5976,-80.3842,2
"41","454",71.6801,-80.2282,2
"42","466",71.4669,-79.8101,2
"43","468",71.3662,-79.4955,2
"44","477",71.46,-79.8083,2
"45","56",71.2211,-79.8042,2
"46","6",71.8368,-80.8319,2
"47","61",71.3562,-79.7641,2
"48","64",71.3982,-79.7033,2
"49","65",71.4564,-79.7205,2
"50","80",71.4476,-79.5701,2
"51","84",71.4457,-79.5258,2
"52","102",71.13,-79.3554,1
"53","107",71.3291,-79.2855,1
"54","127",71.2766,-79.1223,1
"55","135",71.2271,-79.0682,1
"56","138",71.2597,-79.0468,1
"57","16",71.8196,-80.5177,1
"58","17",71.8139,-80.5009,1
"59","173",71.2203,-78.8383,1
"60","19",71.779,-80.4441,1
"61","25",71.7369,-80.3271,1
"62","26",71.5088,-80.3042,1
"63","28",71.4765,-80.2676,1
"64","30",71.7112,-80.2472,1
"65","32",71.391,-80.2381,1
"66","34",71.7048,-80.2042,1
"67","357",71.8392,-80.84,1
"68","376",71.5028,-80.1798,1
"69","377",71.3801,-79.4524,1
"70","378",71.4543,-80.2251,1
"71","382",71.6283,-80.2852,1
"72","385",71.3612,-80.2365,1
"73","391",71.9302,-80.8486,1
"74","392",71.9708,-80.82,1
"75","393",71.9339,-80.7304,1
"76","400",71.8065,-80.7042,1
"77","41",71.3875,-80.1483,1
"78","43",71.2862,-80.0018,1
"79","438",71.7809,-80.6121,1
"80","443",71.3538,-79.853,1
"81","446",71.4672,-80.2813,1
"82","451",71.8227,-80.8751,1
"83","453",71.2724,-79.0907,1
"84","460",71.4334,-80.0222,1
"85","461",71.44,-79.928,1
"86","467",71.4634,-79.7131,1
"87","469",71.446,-79.5481,1
"88","48",71.2978,-79.9221,1
"89","480",71.4599,-80.0933,1
"90","485",71.3413,-79.4336,1
"91","488",71.3583,-79.7789,1
"92","494",71.367067,-79.366506,1
"93","50",71.458,-79.8961,1
"94","57",71.2207,-79.7977,1
"95","58",71.2447,-79.8005,1
"96","62",71.4698,-79.7558,1
"97","69",71.4111,-79.7058,1
"98","88",71.3374,-79.44,1
"99","95",71.2227,-79.3808,1
"100","100",71.3304,-79.3486,0
"101","101",71.1373,-79.3612,0
"102","104",71.3235,-79.3264,0
"103","108",71.3161,-79.2763,0
"104","114",71.3097,-79.1953,0
"105","117",71.3017,-79.1906,0
"106","122",71.2881,-79.1717,0
"107","128",71.2738,-79.1069,0
"108","141",71.2547,-79.0186,0
"109","15",71.7449,-80.5305,0
"110","150",71.2444,-78.9136,0
"111","160",71.2483,-78.8876,0
"112","164",71.227,-78.8723,0
"113","165",71.2268,-78.872,0
"114","2",71.8531,-80.9321,0
"115","20",71.6842,-80.4395,0
"116","22",71.6184,-80.3961,0
"117","23",71.7359,-80.3569,0
"118","24",71.5549,-80.3386,0
"119","27",71.7226,-80.2873,0
"120","33",71.4522,-80.2294,0
"121","35",71.7038,-80.1955,0
"122","356",71.4708,-80.2779,0
"123","374",71.5142,-80.3067,0
"124","380",71.4306,-80.04,0
"125","383",71.654,-80.4598,0
"126","384",71.7214,-80.7419,0
"127","387",71.9265,-80.7551,0
"128","388",71.9083,-80.8245,0
"129","390",71.8131,-80.4997,0
"130","40",71.3882,-80.1527,0
"131","442",71.3446,-79.7615,0
"132","444",71.381,-80.2278,0
"133","445",71.417,-80.3405,0
"134","447",71.3688,-80.1314,0
"135","448",71.5149,-80.3461,0
"136","450",71.8069,-80.709,0
"137","464",71.4097,-79.8855,0
"138","465",71.4478,-79.7967,0
"139","470",71.4396,-79.4363,0
"140","472",71.3823,-79.4528,0
"141","474",71.4332,-79.2549,0
"142","475",71.7343,-80.313,0
"143","476",71.3004,-79.1152,0
"144","478",71.31,-79.2273,0
"145","481",71.7383,-80.3351,0
"146","482",71.843,-80.8613,0
"147","483",71.5163,-80.3323,0
"148","486",71.8225,-81.1747,0
"149","487",71.2466,-78.8573,0
"150","489",71.7139,-80.6963,0
"151","49",71.2964,-79.9196,0
"152","490",71.386,-80.228,0
"153","491",71.8052,-81.1074,0
"154","492",71.4551,-79.6043,0
