"","SiteID","Lat","Long","sum_yng"
"1","100",71.3304,-79.3486,12
"2","101",71.1373,-79.3612,19
"3","107",71.3291,-79.2855,3
"4","108",71.3161,-79.2763,1
"5","114",71.3097,-79.1953,0
"6","122",71.2881,-79.1717,8
"7","128",71.2738,-79.1069,7
"8","135",71.2271,-79.0682,1
"9","138",71.2597,-79.0468,2
"10","14",71.7708,-80.5799,2
"11","141",71.2547,-79.0186,21
"12","15",71.7449,-80.5305,10
"13","150",71.2444,-78.9136,1
"14","160",71.2483,-78.8876,0
"15","164",71.227,-78.8723,0
"16","165",71.2268,-78.872,6
"17","17",71.8139,-80.5009,2
"18","18",71.7948,-80.4523,3
"19","19",71.779,-80.4441,5
"20","2",71.8531,-80.9321,15
"21","20",71.6842,-80.4395,24
"22","22",71.6184,-80.3961,13
"23","24",71.5549,-80.3386,19
"24","25",71.7369,-80.3271,0
"25","26",71.5088,-80.3042,3
"26","28",71.4765,-80.2676,11
"27","30",71.7112,-80.2472,2
"28","33",71.4522,-80.2294,14
"29","338",71.2181,-79.7897,2
"30","34",71.7048,-80.2042,6
"31","35",71.7038,-80.1955,0
"32","356",71.4708,-80.2779,0
"33","357",71.8392,-80.84,9
"34","359",71.4306,-80.0472,4
"35","360",71.7598,-80.4008,0
"36","374",71.5142,-80.3067,2
"37","380",71.4306,-80.04,5
"38","382",71.6283,-80.2852,3
"39","383",71.654,-80.4598,7
"40","384",71.7214,-80.7419,5
"41","385",71.3612,-80.2365,2
"42","387",71.9265,-80.7551,0
"43","388",71.9083,-80.8245,4
"44","390",71.8131,-80.4997,8
"45","391",71.9302,-80.8486,4
"46","40",71.3882,-80.1527,9
"47","400",71.8065,-80.7042,4
"48","43",71.2862,-80.0018,3
"49","442",71.3446,-79.7615,1
"50","444",71.381,-80.2278,6
"51","445",71.417,-80.3405,4
"52","447",71.3688,-80.1314,2
"53","448",71.5149,-80.3461,5
"54","450",71.8069,-80.709,7
"55","46",71.3825,-79.9647,0
"56","464",71.4097,-79.8855,14
"57","465",71.4478,-79.7967,13
"58","470",71.4396,-79.4363,9
"59","472",71.3823,-79.4528,3
"60","474",71.4332,-79.2549,17
"61","475",71.7343,-80.313,5
"62","476",71.3004,-79.1152,5
"63","478",71.31,-79.2273,8
"64","481",71.7383,-80.3351,7
"65","483",71.5163,-80.3323,6
"66","485",71.3413,-79.4336,0
"67","486",71.8225,-81.1747,4
"68","487",71.2466,-78.8573,8
"69","489",71.7139,-80.6963,3
"70","49",71.2964,-79.9196,2
"71","490",71.386,-80.228,3
"72","491",71.8052,-81.1074,4
"73","50",71.458,-79.8961,0
"74","53",71.415,-79.8918,2
"75","55",71.3436,-79.8538,10
"76","59",71.219,-79.7919,18
"77","6",71.8368,-80.8319,5
"78","61",71.3562,-79.7641,0
"79","62",71.4698,-79.7558,7
"80","63",71.4707,-79.7455,5
"81","68",71.3776,-79.7084,13
"82","69",71.4111,-79.7058,11
"83","7",71.8033,-80.7595,3
"84","70",71.4658,-79.6706,3
"85","71",71.1756,-79.6665,24
"86","74",71.3218,-80.195,2
"87","75",71.3616,-79.6362,9
"88","8",71.8702,-80.7133,0
"89","80",71.4476,-79.5701,12
"90","81",71.399,-79.5737,8
"91","82",71.3327,-79.5619,15
"92","83",71.3286,-79.5424,0
"93","85",71.4441,-79.5157,0
"94","86",71.3444,-79.4464,0
"95","88",71.3374,-79.44,3
"96","9",71.8701,-80.7112,2
"97","91",71.3333,-79.3849,0
"98","94",71.3696,-79.3786,18
"99","98",71.214,-79.3739,9
"100","99",71.2144,-79.3719,10
