"","SiteID","Lat","Long","territory"
"1",25,71.7369,-80.3271,13
"2",475,71.7343,-80.313,81
"3",59,71.219,-79.7919,26
"4",338,71.2181,-79.7897,82
"5",86,71.3444,-79.4464,39
"6",485,71.3413,-79.4336,83
"7",359,71.4306,-80.0472,56
"8",380,71.4306,-80.04,84
"9",2,71.8531,-80.9321,1
"10",6,71.8368,-80.8319,2
"11",7,71.8033,-80.7595,3
"12",8,71.8702,-80.7133,4
"13",14,71.7708,-80.5799,5
"14",15,71.7449,-80.5305,6
"15",17,71.8139,-80.5009,7
"16",18,71.7948,-80.4523,8
"17",19,71.779,-80.4441,9
"18",20,71.6842,-80.4395,10
"19",22,71.6184,-80.3961,11
"20",24,71.5549,-80.3386,12
"21",26,71.5088,-80.3042,14
"22",28,71.4765,-80.2676,15
"23",30,71.7112,-80.2472,16
"24",33,71.4522,-80.2294,17
"25",34,71.7048,-80.2042,18
"26",40,71.3882,-80.1527,19
"27",43,71.2862,-80.0018,20
"28",46,71.3825,-79.9647,21
"29",49,71.2964,-79.9196,22
"30",50,71.458,-79.8961,23
"31",53,71.415,-79.8918,24
"32",55,71.3436,-79.8538,25
"33",61,71.3562,-79.7641,27
"34",62,71.4698,-79.7558,28
"35",68,71.3776,-79.7084,29
"36",69,71.4111,-79.7058,30
"37",70,71.4658,-79.6706,31
"38",71,71.1756,-79.6665,32
"39",74,71.3218,-80.195,33
"40",75,71.3616,-79.6362,34
"41",80,71.4476,-79.5701,35
"42",81,71.399,-79.5737,36
"43",82,71.3327,-79.5619,37
"44",85,71.4441,-79.5157,38
"45",91,71.3333,-79.3849,40
"46",94,71.3696,-79.3786,41
"47",98,71.214,-79.3739,42
"48",100,71.3304,-79.3486,43
"49",101,71.1373,-79.3612,44
"50",107,71.3291,-79.2855,45
"51",108,71.3161,-79.2763,46
"52",114,71.3097,-79.1953,47
"53",122,71.2881,-79.1717,48
"54",128,71.2738,-79.1069,49
"55",135,71.2271,-79.0682,50
"56",138,71.2597,-79.0468,51
"57",141,71.2547,-79.0186,52
"58",150,71.2444,-78.9136,53
"59",160,71.2483,-78.8876,54
"60",164,71.227,-78.8723,55
"61",360,71.7598,-80.4008,57
"62",382,71.6283,-80.2852,58
"63",383,71.654,-80.4598,59
"64",384,71.7214,-80.7419,60
"65",385,71.3612,-80.2365,61
"66",387,71.9265,-80.7551,62
"67",388,71.9083,-80.8245,63
"68",391,71.9302,-80.8486,64
"69",400,71.8065,-80.7042,65
"70",442,71.3446,-79.7615,66
"71",444,71.381,-80.2278,67
"72",445,71.417,-80.3405,68
"73",447,71.3688,-80.1314,69
"74",448,71.5149,-80.3461,70
"75",465,71.4478,-79.7967,71
"76",470,71.4396,-79.4363,72
"77",472,71.3823,-79.4528,73
"78",474,71.4332,-79.2549,74
"79",476,71.3004,-79.1152,75
"80",478,71.31,-79.2273,76
"81",486,71.8225,-81.1747,77
"82",487,71.2466,-78.8573,78
"83",489,71.7139,-80.6963,79
"84",491,71.8052,-81.1074,80
