"","SiteID","Lat","Long","territory","terr_lat","terr_long"
"1",21,71.7585,-80.3982,10,71.7585,-80.3982
"2",360,71.7598,-80.4008,83,71.7598,-80.4008
"3",48,71.2978,-79.9221,20,71.2978,-79.9221
"4",51,71.2947,-79.9039,84,71.2947,-79.9039
"5",86,71.3444,-79.4464,37,71.34285,-79.44
"6",88,71.3374,-79.44,85,71.3374,-79.44
"7",359,71.4306,-80.0472,54,71.4306,-80.0472
"8",460,71.4334,-80.0222,86,71.4334,-80.0222
"9",466,71.4669,-79.8101,77,71.4669,-79.8101
"10",477,71.46,-79.8083,87,71.46,-79.8083
"11",2,71.8531,-80.9321,1,71.8531,-80.9321
"12",3,71.8544,-80.9028,2,71.8544,-80.9028
"13",6,71.8368,-80.8319,3,71.838,-80.83595
"14",7,71.8033,-80.7595,4,71.8033,-80.7595
"15",10,71.8634,-80.696,5,71.8634,-80.696
"16",14,71.7708,-80.5799,6,71.7708,-80.5799
"17",16,71.8196,-80.5177,7,71.81675,-80.5093
"18",18,71.7948,-80.4523,8,71.7948,-80.4523
"19",19,71.779,-80.4441,9,71.779,-80.4441
"20",25,71.7369,-80.3271,11,71.7369,-80.3271
"21",26,71.5088,-80.3042,12,71.5088,-80.3042
"22",28,71.4765,-80.2676,13,71.4765,-80.2676
"23",30,71.7112,-80.2472,14,71.7142,-80.2513
"24",32,71.391,-80.2381,15,71.391,-80.2381
"25",34,71.7048,-80.2042,16,71.7048,-80.2042
"26",41,71.3875,-80.1483,17,71.3875,-80.1483
"27",43,71.2862,-80.0018,18,71.2862,-80.0018
"28",46,71.3825,-79.9647,19,71.3825,-79.9647
"29",50,71.458,-79.8961,21,71.458,-79.8961
"30",54,71.3492,-79.8631,22,71.3515,-79.85805
"31",56,71.2211,-79.8042,23,71.2199666666667,-79.7972
"32",58,71.2447,-79.8005,24,71.2447,-79.8005
"33",61,71.3562,-79.7641,25,71.35725,-79.7715
"34",62,71.4698,-79.7558,26,71.4698,-79.7558
"35",64,71.3982,-79.7033,27,71.3982,-79.7033
"36",65,71.4564,-79.7205,28,71.4599,-79.7168
"37",66,71.3441,-79.7168,29,71.3441,-79.7168
"38",69,71.4111,-79.7058,30,71.4111,-79.7058
"39",70,71.4658,-79.6706,31,71.4658,-79.6706
"40",72,71.1779,-79.666,32,71.1779,-79.666
"41",75,71.3616,-79.6362,33,71.3614,-79.6406
"42",80,71.4476,-79.5701,34,71.4468,-79.5591
"43",83,71.3286,-79.5424,35,71.3286,-79.5424
"44",84,71.4457,-79.5258,36,71.4449,-79.52075
"45",95,71.2227,-79.3808,38,71.2227,-79.3808
"46",102,71.13,-79.3554,39,71.13,-79.3554
"47",107,71.3291,-79.2855,40,71.32705,-79.2793
"48",115,71.3087,-79.1925,41,71.3087,-79.1925
"49",119,71.2918,-79.19,42,71.2918,-79.19
"50",124,71.2833,-79.1592,43,71.2833,-79.1592
"51",127,71.2766,-79.1223,44,71.2766,-79.1223
"52",129,71.2723,-79.0988,45,71.27235,-79.09475
"53",135,71.2271,-79.0682,46,71.2271,-79.0682
"54",138,71.2597,-79.0468,47,71.2597,-79.0468
"55",139,71.2376,-79.0316,48,71.2376,-79.0316
"56",143,71.2552,-79.0151,49,71.2552,-79.0151
"57",145,71.2432,-78.9911,50,71.2432,-78.9911
"58",148,71.2451,-78.9201,51,71.2451,-78.9201
"59",173,71.2203,-78.8383,52,71.2203,-78.8383
"60",355,71.4038,-80.1698,53,71.402,-80.16055
"61",375,71.4607,-80.1918,55,71.4607,-80.1918
"62",376,71.5028,-80.1798,56,71.5028,-80.1798
"63",377,71.3801,-79.4524,57,71.3814666666667,-79.4515
"64",378,71.4543,-80.2251,58,71.4543,-80.2251
"65",382,71.6283,-80.2852,59,71.6283,-80.2852
"66",385,71.3612,-80.2365,60,71.3612,-80.2365
"67",389,71.3553,-79.3048,61,71.3553,-79.3048
"68",391,71.9302,-80.8486,62,71.9302,-80.8486
"69",392,71.9708,-80.82,63,71.9708,-80.82
"70",393,71.9339,-80.7304,64,71.9339,-80.7304
"71",400,71.8065,-80.7042,65,71.8065,-80.7042
"72",401,71.8751,-80.8619,66,71.8751,-80.8619
"73",438,71.7809,-80.6121,67,71.7809,-80.6121
"74",446,71.4672,-80.2813,68,71.4672,-80.2813
"75",449,71.5976,-80.3842,69,71.5976,-80.3842
"76",451,71.8227,-80.8751,70,71.8227,-80.8751
"77",452,71.8524,-81.0287,71,71.8524,-81.0287
"78",454,71.6801,-80.2282,72,71.6801,-80.2282
"79",455,71.7833,-80.2546,73,71.7833,-80.2546
"80",461,71.44,-79.928,74,71.44,-79.928
"81",462,71.4489,-79.8944,75,71.4489,-79.8944
"82",463,71.4125,-79.8853,76,71.4125,-79.8853
"83",468,71.3662,-79.4955,78,71.3662,-79.4955
"84",480,71.4599,-80.0933,79,71.4599,-80.0933
"85",484,71.6534,-80.4201,80,71.6534,-80.4201
"86",492,71.4551,-79.6043,81,71.4551,-79.6043
"87",494,71.367067,-79.366506,82,71.367067,-79.366506
