"","SiteID","year","Lat","Long","pefa","rlha"
"1",2,"12",71.8531,-80.9321,0,0
"2",2,"13",71.8531,-80.9321,1,0
"3",2,"14",71.8531,-80.9321,1,0
"4",2,"15",71.8531,-80.9321,0,0
"5",2,"16",71.8531,-80.9321,1,0
"6",2,"17",71.8531,-80.9321,1,0
"7",2,"18",71.8531,-80.9321,1,0
"8",2,"19",71.8531,-80.9321,1,0
"9",2,"20",71.8531,-80.9321,0,1
"10",3,"12",71.8544,-80.9028,0,1
"11",3,"13",71.8544,-80.9028,0,0
"12",3,"14",71.8544,-80.9028,0,1
"13",3,"15",71.8544,-80.9028,0,1
"14",3,"16",71.8544,-80.9028,0,0
"15",3,"17",71.8544,-80.9028,0,0
"16",3,"18",71.8544,-80.9028,0,0
"17",3,"19",71.8544,-80.9028,0,1
"18",3,"20",71.8544,-80.9028,0,0
"19",5,"12",71.8412,-80.8536,-Inf,-Inf
"20",5,"13",71.8412,-80.8536,-Inf,-Inf
"21",5,"14",71.8412,-80.8536,-Inf,-Inf
"22",5,"15",71.8412,-80.8536,-Inf,-Inf
"23",5,"16",71.8412,-80.8536,-Inf,-Inf
"24",5,"17",71.8412,-80.8536,-Inf,-Inf
"25",5,"18",71.8412,-80.8536,-Inf,-Inf
"26",5,"19",71.8412,-80.8536,-Inf,-Inf
"27",5,"20",71.8412,-80.8536,0,0
"28",6,"12",71.8368,-80.8319,0,1
"29",6,"13",71.8368,-80.8319,0,0
"30",6,"14",71.8368,-80.8319,1,0
"31",6,"15",71.8368,-80.8319,0,1
"32",6,"16",71.8368,-80.8319,1,0
"33",6,"17",71.8368,-80.8319,0,0
"34",6,"18",71.8368,-80.8319,1,0
"35",6,"19",71.8368,-80.8319,0,0
"36",6,"20",71.8368,-80.8319,0,1
"37",7,"12",71.8033,-80.7595,1,0
"38",7,"13",71.8033,-80.7595,-Inf,-Inf
"39",7,"14",71.8033,-80.7595,1,0
"40",7,"15",71.8033,-80.7595,0,0
"41",7,"16",71.8033,-80.7595,0,0
"42",7,"17",71.8033,-80.7595,0,0
"43",7,"18",71.8033,-80.7595,0,0
"44",7,"19",71.8033,-80.7595,0,0
"45",7,"20",71.8033,-80.7595,0,1
"46",8,"12",71.8702,-80.7133,0,0
"47",8,"13",71.8702,-80.7133,-Inf,-Inf
"48",8,"14",71.8702,-80.7133,0,0
"49",8,"15",71.8702,-80.7133,1,0
"50",8,"16",71.8702,-80.7133,1,0
"51",8,"17",71.8702,-80.7133,1,0
"52",8,"18",71.8702,-80.7133,0,0
"53",8,"19",71.8702,-80.7133,0,0
"54",8,"20",71.8702,-80.7133,0,0
"55",9,"12",71.8701,-80.7112,1,0
"56",9,"13",71.8701,-80.7112,-Inf,-Inf
"57",9,"14",71.8701,-80.7112,1,0
"58",9,"15",71.8701,-80.7112,0,0
"59",9,"16",71.8701,-80.7112,0,0
"60",9,"17",71.8701,-80.7112,0,0
"61",9,"18",71.8701,-80.7112,1,0
"62",9,"19",71.8701,-80.7112,1,0
"63",9,"20",71.8701,-80.7112,0,0
"64",10,"12",71.8634,-80.696,0,1
"65",10,"13",71.8634,-80.696,-Inf,-Inf
"66",10,"14",71.8634,-80.696,0,1
"67",10,"15",71.8634,-80.696,0,1
"68",10,"16",71.8634,-80.696,0,0
"69",10,"17",71.8634,-80.696,0,1
"70",10,"18",71.8634,-80.696,0,1
"71",10,"19",71.8634,-80.696,0,1
"72",10,"20",71.8634,-80.696,0,1
"73",14,"12",71.7708,-80.5799,0,1
"74",14,"13",71.7708,-80.5799,1,0
"75",14,"14",71.7708,-80.5799,1,0
"76",14,"15",71.7708,-80.5799,0,1
"77",14,"16",71.7708,-80.5799,0,0
"78",14,"17",71.7708,-80.5799,0,0
"79",14,"18",71.7708,-80.5799,0,0
"80",14,"19",71.7708,-80.5799,1,0
"81",14,"20",71.7708,-80.5799,0,0
"82",15,"12",71.7449,-80.5305,1,0
"83",15,"13",71.7449,-80.5305,1,0
"84",15,"14",71.7449,-80.5305,1,0
"85",15,"15",71.7449,-80.5305,1,0
"86",15,"16",71.7449,-80.5305,1,0
"87",15,"17",71.7449,-80.5305,1,0
"88",15,"18",71.7449,-80.5305,0,0
"89",15,"19",71.7449,-80.5305,0,0
"90",15,"20",71.7449,-80.5305,1,0
"91",16,"12",71.8196,-80.5177,0,1
"92",16,"13",71.8196,-80.5177,-Inf,-Inf
"93",16,"14",71.8196,-80.5177,0,0
"94",16,"15",71.8196,-80.5177,0,0
"95",16,"16",71.8196,-80.5177,0,0
"96",16,"17",71.8196,-80.5177,0,0
"97",16,"18",71.8196,-80.5177,0,0
"98",16,"19",71.8196,-80.5177,0,0
"99",16,"20",71.8196,-80.5177,0,0
"100",17,"12",71.8139,-80.5009,0,0
"101",17,"13",71.8139,-80.5009,-Inf,-Inf
"102",17,"14",71.8139,-80.5009,0,1
"103",17,"15",71.8139,-80.5009,1,0
"104",17,"16",71.8139,-80.5009,0,0
"105",17,"17",71.8139,-80.5009,1,0
"106",17,"18",71.8139,-80.5009,1,0
"107",17,"19",71.8139,-80.5009,0,0
"108",17,"20",71.8139,-80.5009,1,0
"109",18,"12",71.7948,-80.4523,0,1
"110",18,"13",71.7948,-80.4523,-Inf,-Inf
"111",18,"14",71.7948,-80.4523,0,1
"112",18,"15",71.7948,-80.4523,1,0
"113",18,"16",71.7948,-80.4523,1,0
"114",18,"17",71.7948,-80.4523,0,0
"115",18,"18",71.7948,-80.4523,0,0
"116",18,"19",71.7948,-80.4523,0,0
"117",18,"20",71.7948,-80.4523,0,0
"118",19,"12",71.779,-80.4441,0,1
"119",19,"13",71.779,-80.4441,-Inf,-Inf
"120",19,"14",71.779,-80.4441,1,0
"121",19,"15",71.779,-80.4441,1,0
"122",19,"16",71.779,-80.4441,0,0
"123",19,"17",71.779,-80.4441,1,0
"124",19,"18",71.779,-80.4441,0,0
"125",19,"19",71.779,-80.4441,1,0
"126",19,"20",71.779,-80.4441,0,1
"127",20,"12",71.6842,-80.4395,1,0
"128",20,"13",71.6842,-80.4395,1,0
"129",20,"14",71.6842,-80.4395,1,0
"130",20,"15",71.6842,-80.4395,1,0
"131",20,"16",71.6842,-80.4395,1,0
"132",20,"17",71.6842,-80.4395,1,0
"133",20,"18",71.6842,-80.4395,1,0
"134",20,"19",71.6842,-80.4395,1,0
"135",20,"20",71.6842,-80.4395,1,0
"136",21,"12",71.7585,-80.3982,0,1
"137",21,"13",71.7585,-80.3982,-Inf,-Inf
"138",21,"14",71.7585,-80.3982,0,0
"139",21,"15",71.7585,-80.3982,0,0
"140",21,"16",71.7585,-80.3982,0,0
"141",21,"17",71.7585,-80.3982,0,0
"142",21,"18",71.7585,-80.3982,0,1
"143",21,"19",71.7585,-80.3982,0,0
"144",21,"20",71.7585,-80.3982,0,1
"145",22,"12",71.6184,-80.3961,1,0
"146",22,"13",71.6184,-80.3961,1,0
"147",22,"14",71.6184,-80.3961,1,0
"148",22,"15",71.6184,-80.3961,1,0
"149",22,"16",71.6184,-80.3961,1,0
"150",22,"17",71.6184,-80.3961,1,0
"151",22,"18",71.6184,-80.3961,1,0
"152",22,"19",71.6184,-80.3961,1,0
"153",22,"20",71.6184,-80.3961,1,0
"154",23,"12",71.7359,-80.3569,-Inf,-Inf
"155",23,"13",71.7359,-80.3569,-Inf,-Inf
"156",23,"14",71.7359,-80.3569,-Inf,-Inf
"157",23,"15",71.7359,-80.3569,-Inf,-Inf
"158",23,"16",71.7359,-80.3569,-Inf,-Inf
"159",23,"17",71.7359,-80.3569,-Inf,-Inf
"160",23,"18",71.7359,-80.3569,-Inf,-Inf
"161",23,"19",71.7359,-80.3569,-Inf,-Inf
"162",23,"20",71.7359,-80.3569,0,0
"163",24,"12",71.5549,-80.3386,1,0
"164",24,"13",71.5549,-80.3386,1,0
"165",24,"14",71.5549,-80.3386,1,0
"166",24,"15",71.5549,-80.3386,1,0
"167",24,"16",71.5549,-80.3386,1,0
"168",24,"17",71.5549,-80.3386,1,0
"169",24,"18",71.5549,-80.3386,1,0
"170",24,"19",71.5549,-80.3386,1,0
"171",24,"20",71.5549,-80.3386,1,0
"172",25,"12",71.7369,-80.3271,0,1
"173",25,"13",71.7369,-80.3271,-Inf,-Inf
"174",25,"14",71.7369,-80.3271,1,0
"175",25,"15",71.7369,-80.3271,0,0
"176",25,"16",71.7369,-80.3271,0,0
"177",25,"17",71.7369,-80.3271,0,0
"178",25,"18",71.7369,-80.3271,1,0
"179",25,"19",71.7369,-80.3271,0,0
"180",25,"20",71.7369,-80.3271,0,0
"181",26,"12",71.5088,-80.3042,0,1
"182",26,"13",71.5088,-80.3042,0,0
"183",26,"14",71.5088,-80.3042,0,0
"184",26,"15",71.5088,-80.3042,0,0
"185",26,"16",71.5088,-80.3042,0,0
"186",26,"17",71.5088,-80.3042,0,0
"187",26,"18",71.5088,-80.3042,0,0
"188",26,"19",71.5088,-80.3042,1,0
"189",26,"20",71.5088,-80.3042,0,0
"190",27,"12",71.7226,-80.2873,0,0
"191",27,"13",71.7226,-80.2873,-Inf,-Inf
"192",27,"14",71.7226,-80.2873,0,0
"193",27,"15",71.7226,-80.2873,0,0
"194",27,"16",71.7226,-80.2873,0,0
"195",27,"17",71.7226,-80.2873,0,0
"196",27,"18",71.7226,-80.2873,0,0
"197",27,"19",71.7226,-80.2873,0,0
"198",27,"20",71.7226,-80.2873,0,0
"199",28,"12",71.4765,-80.2676,0,1
"200",28,"13",71.4765,-80.2676,1,0
"201",28,"14",71.4765,-80.2676,1,0
"202",28,"15",71.4765,-80.2676,1,0
"203",28,"16",71.4765,-80.2676,1,0
"204",28,"17",71.4765,-80.2676,1,0
"205",28,"18",71.4765,-80.2676,1,0
"206",28,"19",71.4765,-80.2676,0,0
"207",28,"20",71.4765,-80.2676,1,0
"208",30,"12",71.7112,-80.2472,0,1
"209",30,"13",71.7112,-80.2472,-Inf,-Inf
"210",30,"14",71.7112,-80.2472,0,0
"211",30,"15",71.7112,-80.2472,0,0
"212",30,"16",71.7112,-80.2472,0,0
"213",30,"17",71.7112,-80.2472,0,0
"214",30,"18",71.7112,-80.2472,0,0
"215",30,"19",71.7112,-80.2472,0,0
"216",30,"20",71.7112,-80.2472,1,0
"217",32,"12",71.391,-80.2381,-Inf,-Inf
"218",32,"13",71.391,-80.2381,-Inf,-Inf
"219",32,"14",71.391,-80.2381,-Inf,-Inf
"220",32,"15",71.391,-80.2381,-Inf,-Inf
"221",32,"16",71.391,-80.2381,-Inf,-Inf
"222",32,"17",71.391,-80.2381,-Inf,-Inf
"223",32,"18",71.391,-80.2381,-Inf,-Inf
"224",32,"19",71.391,-80.2381,-Inf,-Inf
"225",32,"20",71.391,-80.2381,0,1
"226",33,"12",71.4522,-80.2294,1,0
"227",33,"13",71.4522,-80.2294,1,0
"228",33,"14",71.4522,-80.2294,1,0
"229",33,"15",71.4522,-80.2294,1,0
"230",33,"16",71.4522,-80.2294,1,0
"231",33,"17",71.4522,-80.2294,1,0
"232",33,"18",71.4522,-80.2294,1,0
"233",33,"19",71.4522,-80.2294,1,0
"234",33,"20",71.4522,-80.2294,0,0
"235",34,"12",71.7048,-80.2042,0,0
"236",34,"13",71.7048,-80.2042,-Inf,-Inf
"237",34,"14",71.7048,-80.2042,0,1
"238",34,"15",71.7048,-80.2042,1,0
"239",34,"16",71.7048,-80.2042,1,0
"240",34,"17",71.7048,-80.2042,1,0
"241",34,"18",71.7048,-80.2042,0,0
"242",34,"19",71.7048,-80.2042,0,0
"243",34,"20",71.7048,-80.2042,0,0
"244",35,"12",71.7038,-80.1955,0,0
"245",35,"13",71.7038,-80.1955,-Inf,-Inf
"246",35,"14",71.7038,-80.1955,1,0
"247",35,"15",71.7038,-80.1955,0,0
"248",35,"16",71.7038,-80.1955,0,0
"249",35,"17",71.7038,-80.1955,0,0
"250",35,"18",71.7038,-80.1955,0,0
"251",35,"19",71.7038,-80.1955,0,0
"252",35,"20",71.7038,-80.1955,0,0
"253",40,"12",71.3882,-80.1527,1,0
"254",40,"13",71.3882,-80.1527,1,0
"255",40,"14",71.3882,-80.1527,1,0
"256",40,"15",71.3882,-80.1527,1,0
"257",40,"16",71.3882,-80.1527,1,0
"258",40,"17",71.3882,-80.1527,1,0
"259",40,"18",71.3882,-80.1527,0,0
"260",40,"19",71.3882,-80.1527,0,0
"261",40,"20",71.3882,-80.1527,1,0
"262",41,"12",71.3875,-80.1483,0,0
"263",41,"13",71.3875,-80.1483,0,0
"264",41,"14",71.3875,-80.1483,0,0
"265",41,"15",71.3875,-80.1483,0,1
"266",41,"16",71.3875,-80.1483,0,0
"267",41,"17",71.3875,-80.1483,0,0
"268",41,"18",71.3875,-80.1483,0,0
"269",41,"19",71.3875,-80.1483,0,0
"270",41,"20",71.3875,-80.1483,0,0
"271",43,"12",71.2862,-80.0018,1,0
"272",43,"13",71.2862,-80.0018,0,0
"273",43,"14",71.2862,-80.0018,0,0
"274",43,"15",71.2862,-80.0018,0,0
"275",43,"16",71.2862,-80.0018,0,0
"276",43,"17",71.2862,-80.0018,0,0
"277",43,"18",71.2862,-80.0018,0,0
"278",43,"19",71.2862,-80.0018,0,0
"279",43,"20",71.2862,-80.0018,0,1
"280",46,"12",71.3825,-79.9647,0,1
"281",46,"13",71.3825,-79.9647,0,0
"282",46,"14",71.3825,-79.9647,0,0
"283",46,"15",71.3825,-79.9647,0,1
"284",46,"16",71.3825,-79.9647,0,1
"285",46,"17",71.3825,-79.9647,0,0
"286",46,"18",71.3825,-79.9647,1,0
"287",46,"19",71.3825,-79.9647,0,0
"288",46,"20",71.3825,-79.9647,0,1
"289",48,"12",71.2978,-79.9221,0,1
